sample,fastq_1,fastq_2,strandedness
SRR32839968_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839968/SRR32839968_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839968/SRR32839968_2.fastq.gz,auto
SRR32839970_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839970/SRR32839970_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839970/SRR32839970_2.fastq.gz,auto
SRR32839972_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839972/SRR32839972_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839972/SRR32839972_2.fastq.gz,auto
SRR32839974_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839974/SRR32839974_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839974/SRR32839974_2.fastq.gz,auto
SRR32839976_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839976/SRR32839976_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839976/SRR32839976_2.fastq.gz,auto
SRR32839978_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839978/SRR32839978_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839978/SRR32839978_2.fastq.gz,auto
SRR32839980_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839980/SRR32839980_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839980/SRR32839980_2.fastq.gz,auto
SRR32839982_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839982/SRR32839982_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839982/SRR32839982_2.fastq.gz,auto
SRR32839984_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839984/SRR32839984_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839984/SRR32839984_2.fastq.gz,auto
SRR32839986_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839986/SRR32839986_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839986/SRR32839986_2.fastq.gz,auto
SRR32839988_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839988/SRR32839988_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839988/SRR32839988_2.fastq.gz,auto
SRR32839990_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839990/SRR32839990_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839990/SRR32839990_2.fastq.gz,auto
SRR32839992_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839992/SRR32839992_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839992/SRR32839992_2.fastq.gz,auto
SRR32839994_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839994/SRR32839994_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839994/SRR32839994_2.fastq.gz,auto
SRR32839996_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839996/SRR32839996_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839996/SRR32839996_2.fastq.gz,auto
SRR32839998_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839998/SRR32839998_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839998/SRR32839998_2.fastq.gz,auto
SRR32840000_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32840000/SRR32840000_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32840000/SRR32840000_2.fastq.gz,auto
SRR32840002_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32840002/SRR32840002_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32840002/SRR32840002_2.fastq.gz,auto
SRR32840004_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32840004/SRR32840004_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32840004/SRR32840004_2.fastq.gz,auto
